Niveles Sonoros y tiempos de reverberaciÛn medidos,,,,,,MEDICI”N DE ABSORCI”N EN C¡ÅMARA REVERBERANTE,,,,Espectros de Ruidos Normalizados,,
Banda,L1 (dB),L2 (dB),RF (dB),TR (s),,Banda,TR Sala con muestra (T2),TR Sala vacÌa (T1),,Banda,de ruido de tr·fico (dB),de ruido ferroviario (dB)
50,62.5,52.9,17.9,6.91,,100,4.6,14.92,,100,-20,-27
63,62.6,51.3,19.5,7.78,,125,4.47,12.22,,125,-20,-25
80,76.5,61.4,23.4,7.32,,160,3.71,9.97,,160,-18,-23
100,80,66.6,34.7,5.97,,200,3.2,9.08,,200,-16,-21
125,81.2,68.6,27.4,5.3,,250,2.89,9.19,,250,-15,-19
160,80.6,64.4,19.6,3.69,,315,2.72,9.74,,315,-14,-17
200,77.9,59.4,9.2,2.95,,400,2.38,8.74,,400,-13,-15
250,79.1,56,6.5,2.08,,500,2.28,7.59,,500,-12,-13
315,79.6,52.7,5.8,2.21,,630,2.26,7.15,,630,-11,-12
400,82.8,52.1,4.5,1.88,,800,2.21,7.03,,800,-9,-11
500,81.8,47.9,3.8,1.88,,1000,2.28,7.21,,1000,-8,-10
630,78.2,44.2,5.3,1.78,,1250,2.23,6.58,,1250,-9,-9
800,77.7,44.7,5.1,1.8,,1600,2.21,5.87,,1600,-10,-9
1000,79,46.4,5.1,1.77,,2000,2.23,5.08,,2000,-11,-9
1250,78.1,46,9.7,1.73,,2500,2.22,4.44,,2500,-13,-9
1600,79.9,51,7.5,1.83,,3150,2.17,3.59,,3150,-15,-10
2000,79.8,50.8,7.1,1.84,,4000,2.08,2.98,,4000,-16,-13
2500,79.4,47.2,6.4,1.78,,5000,1.84,2.29,,5000,-18,-17
3150,79.1,50.1,6.9,1.81,,,,,,,,
4000,82.3,51.6,7.8,1.64,,,,,,,,
5000,80.7,50.5,8,1.48,,,,,,,,
